------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
No CUDA error.
MEMTRACE: CTX 0x000055f5fd963f10 - LAUNCH - Kernel pc 0x00007fa672fa1a00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b940
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b960
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730da80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730daa0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dac0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dae0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309700
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309720
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309740
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309760
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d780
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d7a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d7c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d7e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309b80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309bc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309be0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d900
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d920
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d940
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d960
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730be80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bea0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bec0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bee0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730eb00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730eb20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730eb40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730eb60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c080
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c0a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c0c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c0e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730de00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730de20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730de40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730de60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bd80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bda0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bdc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bde0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b180
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b1a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b1c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b1e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308e80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308ea0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308ec0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308ee0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b000
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b020
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b040
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b060
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309e80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ea0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ec0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ee0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ba80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730baa0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bac0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bae0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309400
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309420
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309440
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309460
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e480
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e4a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e4c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e4e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730be00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730be20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730be40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730be60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d000
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d020
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d040
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d060
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309980
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573099a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573099c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573099e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309f00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309f20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309f40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309f60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309e00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309e20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309e40
