------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
alloc address : 139806607671296, Size : 32768
alloc address : 139806607704064, Size : 32768
alloc address : 139806607736832, Size : 32768
No CUDA error.
MEMTRACE: CTX 0x000055e4486faf10 - LAUNCH - Kernel pc 0x00007f2746fa0f00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
No CUDA error.
Final sum = 24576; sum/n = 3 (should be ~1)
No CUDA error.
0x0000000040000000,0x00007f2743309f9c
0x0000000040000000,0x00007f2743309fa0
0x0000000040000000,0x00007f2743309fa4
0x0000000040000000,0x00007f2743309fa8
0x0000000040000000,0x00007f2743309fac
0x0000000040000000,0x00007f2743309fb0
0x0000000040000000,0x00007f2743309fb4
0x0000000040000000,0x00007f2743309fb8
0x0000000040000000,0x00007f2743309fbc
0x0000000040000000,0x00007f2743309fc0
0x0000000040000000,0x00007f2743309fc4
0x0000000040000000,0x00007f2743309fc8
0x0000000040000000,0x00007f2743309fcc
0x0000000040000000,0x00007f2743309fd0
0x0000000040000000,0x00007f2743309fd4
0x0000000040000000,0x00007f2743309fd8
0x0000000040000000,0x00007f2743309fdc
0x0000000040000000,0x00007f2743309fe0
0x0000000040000000,0x00007f2743309fe4
0x0000000040000000,0x00007f2743309fe8
0x0000000040000000,0x00007f2743309fec
0x0000000040000000,0x00007f2743309ff0
0x0000000040000000,0x00007f2743309ff4
0x0000000040000000,0x00007f2743309ff8
0x0000000040000000,0x00007f2743309ffc
0x0000000040000000,0x00007f274330c880
0x0000000040000000,0x00007f274330c884
0x0000000040000000,0x00007f274330c888
0x0000000040000000,0x00007f274330c88c
0x0000000040000000,0x00007f274330c890
0x0000000040000000,0x00007f274330c894
0x0000000040000000,0x00007f274330c898
0x0000000040000000,0x00007f274330c89c
0x0000000040000000,0x00007f274330c8a0
0x0000000040000000,0x00007f274330c8a4
0x0000000040000000,0x00007f274330c8a8
0x0000000040000000,0x00007f274330c8ac
0x0000000040000000,0x00007f274330c8b0
0x0000000040000000,0x00007f274330c8b4
0x0000000040000000,0x00007f274330c8b8
0x0000000040000000,0x00007f274330c8bc
0x0000000040000000,0x00007f274330c8c0
0x0000000040000000,0x00007f274330c8c4
0x0000000040000000,0x00007f274330c8c8
0x0000000040000000,0x00007f274330c8cc
0x0000000040000000,0x00007f274330c8d0
0x0000000040000000,0x00007f274330c8d4
0x0000000040000000,0x00007f274330c8d8
0x0000000040000000,0x00007f274330c8dc
0x0000000040000000,0x00007f274330c8e0
